Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Car Location
Maruti,Swift Dzire VXI 1.2 BS IV,Comprehensive,Petrol,5,"51,000",RJ25,Second Owner,1197,Manual,2017,22,81.80,113,,Jan,2017,60,5.9,Jaipur,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Third Party,Petrol,5,"85,327",RJ14,First Owner,1197,Manual,2017,18.9,81.86,113.75,,Jun,2017,60,4.4,Jaipur,
Maruti,S-Presso VXi Plus,Third Party,Petrol,5,"93,452",RJ47,First Owner,998,Manual,2019,24.76,65.71,89,,Jun,2019,40,4.14,Jaipur,
Nissan,Micra XL CVT,1,Petrol,5,"70,355",RJ14,First Owner,1198,Automatic,2016,19.34,76,104,,Mar,2017,70,3.9,Jaipur,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Third Party,Petrol,5,"70,327",RJ02,Second Owner,1197,Manual,2018,18.9,81.86,113.75,,Jun,2018,50,5.05,Jaipur,
Maruti,XL6 Alpha,Third Party,Petrol,6,"81,963",RJ19,First Owner,1462,Manual,2019,19.01,103.2,138,R15,Jun,2019,40,9.13,Jaipur,
Maruti,Ignis 1.2 Zeta BSIV,Third Party,Petrol,5,"70,072",RJ20,Second Owner,1197,Manual,2017,20.89,81.80,113,15,Jun,2017,60,4.27,Jaipur,
Honda,Jazz 1.2 VX i VTEC,Third Party,Petrol,5,"81,984",RJ14,Second Owner,1199,Manual,2016,18.7,88.7,110,15,Jun,2016,70,5.73,Jaipur,
Honda,Brio S MT,Third Party,Petrol,5,"75,635",RJ14,Second Owner,1198,Manual,2013,19.4,86.8,109,,Jun,2013,75,2.8,Jaipur,
Maruti,Vitara Brezza ZDi,,Diesel,5,"54,572",RJ40,First Owner,1248,Manual,2019,24.3,88.5,200,16,Dec,2019,40,9.4,Jaipur,
Maruti,SX4 S Cross Alpha,Comprehensive,Petrol,5,"40,136",RJ13,First Owner,1462,Manual,2020,18.55,103.25,138,16,Jun,2020,30,11.66,Jaipur,
Renault,Kiger RXT,Third Party,Petrol,5,"4,648",RJ45,First Owner,999,Manual,2022,19.17,71.01,96,,Jun,2022,15,8.04,Jaipur,
Maruti,Celerio ZXI Plus,Third Party,Petrol,5,"8,855",RJ45,First Owner,998,Manual,2022,24.97,65.71,89,15,Jun,2022,15,6.64,Jaipur,
Honda,City i DTEC VX,Individual,Diesel,5,"1,25,000",,First Owner,1498,Manual,2015,25.1,98.6,200,15,,,75,6.0,Jaipur,
Maruti,Wagon R VXI BS IV,N/a,Petrol,5,"71,000",N/A,First Owner,998,Manual,2013,18.9,67.1,90,14,,,75,3.1,Jaipur,
Kia,Sonet 1.5 HTX Diesel,Comprehensive,Diesel,5,"62,000",RJ23,First Owner,1493,Manual,2021,,98.63,240,16,Mar,2021,20,11.5,Jaipur,
Hyundai,Verna VTVT 1.6 SX,Third Party insurance,Petrol,5,"52,000",,First Owner,1591,Manual,2019,17,121.3,151,16,,,40,9.3,Jaipur,
Maruti,Swift Dzire VDI,Third Party insurance,Diesel,5,"1,20,000",,Third Owner,1248,Manual,2014,23.4,74,190,14,,,75,4.3,Jaipur,
Hyundai,i10 Magna,Comprehensive,Petrol,5,"75,000",RJ14,First Owner,1197,Manual,2016,20.36,78.9,111.7,13,Apr,2016,70,3.9,Jaipur,
Maruti,SX4 S Cross Zeta DDiS 200 SH,Comprehensive,Diesel,5,"75,000",RJ31,Second Owner,1248,Manual,2018,25.1,88.5,200,R16,Feb,2018,50,8.0,Jaipur,
Mahindra,Bolero B6 Opt,Third Party insurance,Diesel,7,"40,000",,First Owner,1493,Manual,2021,16,74.96,210,,,,20,9.85,Jaipur,
Maruti,Celerio ZXI AT,Comprehensive,Petrol,5,"31,924",RJ14,First Owner,998,Automatic,2015,23.1,67.04,90,,Jun,2015,75,4.19,Jaipur,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"37,351",RJ02,First Owner,796,Manual,2019,22.05,47.33,69,,Jun,2019,40,3.04,Jaipur,
Maruti,Celerio VXI CNG BSIV,Comprehensive,CNG,5,"40,316",RJ53,First Owner,998,Manual,2020,31.79,58.33,78,,Jun,2020,30,5.49,Jaipur,
Tata,Nexon XZA Plus (O) Dark Edition,Comprehensive,Petrol,5,"23,897",RJ23,First Owner,1199,Automatic,2021,16.35,118.36,170,16,Jun,2021,20,11.89,Jaipur,
Maruti,Baleno 1.2 Delta,Comprehensive,Petrol,5,"14,194",RJ45,Second Owner,1197,Manual,2019,21.4,83.1,115,,Jun,2019,40,7.04,Jaipur,
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"2,873",RJ45,First Owner,1197,Manual,2020,22.41,88.50,113,,Jun,2020,30,7.26,Jaipur,
Volkswagen,Polo 1.0 TSI Comfortline AT,Comprehensive,Petrol,5,"27,491",RJ45,First Owner,999,Automatic,2021,16.47,108.62,175,R15,Jun,2021,20,8.65,Jaipur,
Hyundai,Santro Era,Third Party,Petrol,5,"22,156",RJ45,Second Owner,1086,Manual,2019,20.3,68,99,,Jun,2019,40,4.43,Jaipur,
Maruti,Celerio ZXI AMT BSIV,Third Party,Petrol,5,"49,068",RJ45,First Owner,998,Automatic,2018,23.1,67.04,90,,Jun,2018,50,4.78,Jaipur,
Maruti,Celerio ZXI MT BSIV,Third Party,Petrol,5,"64,239",RJ25,First Owner,998,Manual,2018,23.1,67.04,90,,Jun,2018,50,4.46,Jaipur,
Tata,Harrier XZ Plus Dual Tone,Third Party,Diesel,5,"10,100",RJ45,First Owner,1956,Manual,2022,16.35,167.67,350,17,Jun,2022,15,20.77,Jaipur,
Honda,WR-V VX,Third Party,Petrol,5,"36,501",RJ05,First Owner,1199,Manual,2021,16.5,88.50,110,16,Jun,2021,20,7.49,Jaipur,
Nissan,Magnite XL,Third Party insurance,Petrol,5,"56,000",,First Owner,999,Manual,2021,18.75,71.02,96,,,,20,6.25,Jaipur,
Nissan,Terrano XL D Option,Third Party insurance,Diesel,5,"1,00,000",,First Owner,1461,Manual,2017,19.87,83.14,200,16,,,60,5.5,Jaipur,
Tata,Safari Storme EX,Comprehensive,Diesel,7,"63,332",RJ13,First Owner,2179,Manual,2018,14.1,147.94,320,,Mar,2018,50,9.5,Jaipur,
Mahindra,Verito Vibe 1.5 dCi D4,Third Party insurance,Diesel,5,"1,10,000",,First Owner,1461,Manual,2014,20.8,64.1,160,,,,75,3.0,Jaipur,
Mahindra,Scorpio 1.99 S6 Plus,Third Party insurance,Diesel,7,"50,000",,Second Owner,1997,Manual,2016,15.4,120,280,,,,70,9.0,Jaipur,
Hyundai,EON Era,Third Party insurance,Petrol,5,"1,20,000",,Second Owner,814,Manual,2011,21.1,55.2,74.5,12,,,75,1.8,Jaipur,
Maruti,Ciaz 1.4 Sigma,Third Party insurance,Petrol,5,"30,000",,First Owner,1373,Manual,2018,20.73,91.1,130,,,,50,6.0,Jaipur,
Honda,Amaze S,Third Party insurance,Petrol,5,"10,000",,First Owner,1199,Manual,2022,18.6,88.50,110,,,,15,7.5,Jaipur,
BMW,X1 sDrive20d Expedition,Comprehensive,Diesel,5,"50,192",RJ14,First Owner,1995,Automatic,2016,20.68,188,400,17,May,2016,70,24.9,Jaipur,
Maruti,Swift ZXI,Third Party,Petrol,5,"47,029",RJ14,First Owner,1197,Manual,2018,21.21,81.80,113,R15,Jun,2018,50,6.77,Jaipur,
Maruti,Baleno 1.2 CVT Delta,Comprehensive,Petrol,5,"63,607",RJ14,First Owner,1197,Automatic,2017,21.4,83.1,115,,Jun,2017,60,6.69,Jaipur,
Maruti,Swift VVT VXI,Third Party insurance,Petrol,5,"82,533",RJ14,First Owner,1197,Manual,2017,22,81.80,113,,Aug,2017,60,5.25,Jaipur,"Jaipur, Rajasthan..."
Maruti,Celerio ZXI MT BSIV,Third Party,Petrol,5,"64,535",RJ51,Second Owner,998,Manual,2018,23.1,67.04,90,,Jun,2018,50,4.53,Jaipur,
Hyundai,i20 1.2 Spotz,Third Party,Petrol,5,"68,596",RJ21,First Owner,1197,Manual,2018,18.6,81.83,114.7,,Jun,2018,50,5.7,Jaipur,
Hyundai,i20 Sportz 1.2,Third Party,Petrol,5,"95,578",RJ25,First Owner,1197,Manual,2016,18.6,81.83,114.7,,Jun,2016,70,5.12,Jaipur,
Tata,Tiago XT,Comprehensive,Petrol,5,"68,668",RJ45,First Owner,1199,Manual,2020,19.01,84.82,113,,Jun,2020,30,5.58,Jaipur,
Maruti,Celerio ZXI AT Optional,Third Party insurance,Petrol,5,"70,507",RJ14,First Owner,998,Automatic,2016,23.1,67.04,90,,Jun,2016,70,4.35,Jaipur,"Jaipur, Rajasthan..."
Renault,KWID RXL,Third Party insurance,Petrol,5,"23,131",RJ45,First Owner,799,Manual,2019,25.17,53.3,72,,May,2019,40,3.6,Jaipur,
Maruti,S-Presso VXI 2019-2022,Comprehensive,Petrol,5,"32,408",RJ45,Second Owner,998,Manual,2020,21.7,65.71,89,,Jun,2020,30,4.37,Jaipur,
Honda,Amaze S Petrol BSIV,Comprehensive,Petrol,5,"46,219",RJ45,First Owner,1199,Manual,2019,19.5,88.76,110,,Jun,2019,40,6.48,Jaipur,
Honda,Amaze VX i-VTEC,Third Party insurance,Petrol,5,"50,000",,First Owner,1198,Manual,2017,17.8,86.7,109,14,,,60,4.5,Jaipur,
Maruti,800 AC BSIII,Third Party insurance,Petrol,4,"1,00,000",,Fourth Owner,796,Manual,2002,16.1,37,59,12,,,75,0.25,Jaipur,
Toyota,Fortuner 4x4 MT,Third Party insurance,Diesel,7,"2,25,000",,First Owner,2982,Manual,2013,12.55,168.5,343,17,,,75,10.0,Jaipur,
Jeep,Compass 1.4 Limited Plus BSIV,Comprehensive,Petrol,5,"18,200",RJ45,First Owner,1368,Automatic,2018,16,160.77,250,18,Oct,2018,50,16.9,Jaipur,
Hyundai,Creta 1.6 SX Automatic Diesel,Comprehensive,Diesel,5,"1,00,000",RJ40,Third Owner,1582,Automatic,2017,17.6,126.2,259.87,17,Aug,2017,60,8.7,Jaipur,
Mahindra,Bolero SLX,Available,Diesel,7,"1,10,000",,Third Owner,2523,Manual,2007,13.6,63 HP at 3200 ,180 Nm at 1440-1500r,15,,,75,3.5,Jaipur,
Mahindra,Bolero Plus Non AC BSIV PS,Third Party insurance,Diesel,9,"15,000",,First Owner,2523,Manual,2019,15.96,63,180,,,,40,8.0,Jaipur,
Maruti,Celerio ZXI,Third Party insurance,Petrol,5,"35,000",,Second Owner,998,Manual,2021,21.63,67.05,90,,,,20,5.0,Jaipur,
Toyota,Glanza V,Third Party,Petrol,5,"58,496",RJ23,First Owner,1197,Manual,2021,21.01,81.80,113,R16,Jun,2021,20,8.3,Jaipur,
Maruti,Baleno Delta,Third Party,Petrol,5,"9,211",RJ45,First Owner,1197,Manual,2019,21.01,81.80,113,,Jun,2019,40,6.97,Jaipur,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"16,930",RJ02,First Owner,796,Manual,2020,22.05,47.33,69,,Jun,2020,30,3.77,Jaipur,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Comprehensive,Petrol,5,"36,824",RJ45,Second Owner,1197,Manual,2019,18.9,81.86,113.75,,Jun,2019,40,5.21,Jaipur,
Maruti,Celerio ZXI AMT BSIV,Third Party,Petrol,5,"73,543",RJ14,First Owner,998,Automatic,2018,23.1,67.04,90,,Jun,2018,50,4.86,Jaipur,
Maruti,Baleno Delta,Third Party,Petrol,5,"43,542",RJ45,First Owner,1197,Manual,2021,21.01,81.80,113,,Jun,2021,20,6.93,Jaipur,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"89,592",RJ41,First Owner,796,Manual,2020,22.05,47.33,69,,Jun,2020,30,3.29,Jaipur,
Tata,Harrier XM BSIV,1,Diesel,5,"18,875",RJ45,First Owner,1956,Manual,2019,17,138.1,350,,Oct,2019,40,14.5,Jaipur,
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"45,038",RJ45,First Owner,1197,Manual,2020,22.41,88.50,113,,Jun,2020,30,7.25,Jaipur,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"23,192",RJ05,First Owner,796,Manual,2020,22.05,47.33,69,,Jun,2020,30,3.46,Jaipur,
Hyundai,Grand i10 Nios Sportz CRDi,Comprehensive,Diesel,5,"20,487",RJ45,First Owner,1186,Manual,2021,26.2,73.97,190,R14,Jun,2021,20,7.83,Jaipur,
Honda,Amaze Exclusive Petrol BSIV,Third Party,Petrol,5,"36,443",RJ45,First Owner,1199,Manual,2019,19.5,88.76,110,14,Jun,2019,40,5.25,Jaipur,
Toyota,Innova 2.5 E Diesel MS 7-seater,Third Party insurance,Diesel,7,"2,10,000",,First Owner,2494,Manual,2008,12.8,,20,15,,,75,4.0,Jaipur,
Maruti,Alto 800 CNG LXI,Third Party insurance,CNG,5,"40,000",,Third Owner,796,Manual,2018,33.44,40.3,60,,,,50,3.4,Jaipur,
Hyundai,i10 Magna,Third Party insurance,Petrol,5,"70,000",,First Owner,1197,Manual,2008,20.36,78.9,111.7,13,,,75,1.11,Jaipur,
BMW,X3 2.0d SAV,Third Party insurance,Diesel,5,"55,000",,Third Owner,1995,Automatic,2013,16.55,,25,17,,,75,17.0,Jaipur,
Maruti,Ertiga CNG VXI,Available,CNG,7,"5,000",,First Owner,1462,Manual,2022,26.08 ,91.19,122,,,,15,9.52,Jaipur,
Maruti,Wagon R CNG LXI,Third Party insurance,CNG,5,"50,000",,First Owner,998,Manual,2021,32.52,58.33,78,,,,20,6.0,Jaipur,
Maruti,Alto K10 VXI,Third Party insurance,Petrol,5,"37,600",,First Owner,998,Manual,2018,23.95,67.05,90,,,,50,3.6,Jaipur,
Maruti,Swift Dzire LDI,Third Party insurance,Diesel,5,"1,20,000",,First Owner,1248,Manual,2013,23.4,74,190,14,,,75,3.7,Jaipur,
Hyundai,i20 Asta Option CVT BSIV,Comprehensive,Petrol,5,"33,195",RJ45,Second Owner,1197,Automatic,2019,17.4,81.86,117,16,Jun,2019,40,7.6,Jaipur,
Maruti,Ignis 1.3 AMT Zeta,,Diesel,5,"86,837",RJ14,First Owner,1248,Automatic,2017,26.8,74,190,15,Mar,2017,60,5.5,Jaipur,
Maruti,S-Presso VXI CNG,Comprehensive,CNG,4,"18,467",RJ40,First Owner,998,Manual,2022,32.73,55.92,82.1,,Jun,2022,15,6.07,Jaipur,
Maruti,Baleno 1.2 Delta,Comprehensive,Petrol,5,"26,883",RJ23,Second Owner,1197,Manual,2019,21.4,83.1,115,,Jun,2019,40,6.46,Jaipur,
Datsun,RediGO T Option,Third Party,Petrol,5,"17,580",RJ02,First Owner,799,Manual,2020,22.7,53.64,72,,Jun,2020,30,4.21,Jaipur,
Hyundai,Grand i10 Nios Sportz Dual Tone,Third Party,Petrol,5,"36,638",RJ45,First Owner,1197,Manual,2021,20.7,81.86,113.8,15,Jun,2021,20,7.71,Jaipur,
Tata,Harrier XZ BSIV,Third Party,Diesel,5,"43,113",RJ45,First Owner,1956,Manual,2019,17,138.1,350,17,Jun,2019,40,13.99,Jaipur,
Hyundai,i20 Petrol Asta,Third Party insurance,Petrol,5,"66,683",RJ45,First Owner,1197,Manual,2018,18.6,81.86,114.73,15,Oct,2018,50,6.59,Jaipur,"Jaipur, Rajasthan..."
Maruti,Alto 800 VXI Plus,Third Party insurance,Petrol,5,"33,631",RJ32,First Owner,796,Manual,2021,22.05,47.33,69,,Jan,2021,20,4.05,Jaipur,"Jaipur, Rajasthan..."
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"26,524",RJ45,First Owner,998,Manual,2021,21.7,65.71,89,,Jun,2021,20,4.47,Jaipur,
Honda,Amaze S i-VTEC,Third Party,Petrol,5,"82,706",RJ14,Second Owner,1198,Manual,2017,17.8,86.7,109,,Jun,2017,60,4.6,Jaipur,
Hyundai,i20 Sportz Plus,Third Party,Petrol,5,"43,897",RJ45,First Owner,1197,Manual,2020,18.6,81.86,117,15,Jun,2020,30,7.04,Jaipur,
Toyota,Yaris VX,Third Party insurance,Petrol,5,"70,000",N/A,First Owner,1496,Manual,2019,17.1,105.5,140,15,,,40,10.05,Jaipur,
Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,Third Party insurance,Diesel,8,"1,20,000",,First Owner,2494,Manual,2011,12.8,,20,15,,,75,5.5,Jaipur,
Hyundai,Accent Executive,Third Party insurance,Petrol,5,"43,000",N/A,First Owner,1495,Manual,2012,16.36,93.7,124.6,13,,,75,1.8,Jaipur,
Honda,Civic 1.8 S MT,Comprehensive,Petrol,5,"85,690",RJ19,Second Owner,1799,Manual,2009,14.8,130.2,171.6,15,Apr,2009,75,3.0,Jaipur,
Mahindra,Scorpio S11,Comprehensive,Diesel,7,"87,500",RJ23,Second Owner,2179,Manual,2018,15.4,136.78,319,R17,Sept,2018,50,14.5,Jaipur,
Maruti,Baleno 1.3 Sigma,Third Party insurance,Diesel,5,"75,807",RJ45,First Owner,1248,Manual,2018,27.39,74,190,,Sept,2018,50,6.75,Jaipur,
Maruti,Ignis 1.2 Delta BSIV,Comprehensive,Petrol,5,"65,185",RJ02,First Owner,1197,Manual,2017,20.89,81.80,113,,Apr,2017,60,4.95,Jaipur,
Mahindra,Thar LX 4-Str Hard Top,Not Available,Petrol,4,"6,505",RJ45,First Owner,1997,Manual,2021,15.2,150,300,18,Aug,2021,20,12.5,Jaipur,
Maruti,Ignis 1.2 AMT Alpha BSIV,Third Party,Petrol,5,"33,291",RJ45,First Owner,1197,Automatic,2020,20.89,81.80,113,15,Jun,2020,30,6.58,Jaipur,
Maruti,Swift VXI,Third Party,Petrol,5,"69,708",RJ45,First Owner,1197,Manual,2019,21.21,81.80,113,,Jun,2019,40,6.04,Jaipur,
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"49,787",RJ45,First Owner,1197,Manual,2019,21.4,83.1,115,,Jun,2019,40,6.79,Jaipur,
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"64,203",RJ14,Second Owner,1197,Manual,2016,21.4,83.1,115,,Jun,2016,70,4.91,Jaipur,
Maruti,Swift VXI,Third Party,Petrol,5,"61,087",RJ32,First Owner,1197,Manual,2020,21.21,81.80,113,,Jun,2020,30,6.0,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"56,003",RJ02,First Owner,998,Manual,2016,20.51,67.04,90,,Jun,2016,70,3.9,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"51,834",RJ14,Second Owner,998,Manual,2017,20.51,67.04,90,,Jun,2017,60,4.3,Jaipur,
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"90,215",RJ20,First Owner,1197,Manual,2018,21.4,83.1,115,,Jun,2018,50,5.97,Jaipur,
Maruti,Vitara Brezza ZXI,Comprehensive,Petrol,5,"49,848",RJ45,First Owner,1462,Manual,2020,17.03,103.26,138,R16,Oct,2020,30,8.75,Jaipur,
Maruti,SX4 S Cross Alpha DDiS 200 SH,Comprehensive,Diesel,5,"10,785",RJ02,First Owner,1248,Manual,2020,25.1,88.5,200,R16,Jun,2020,30,11.98,Jaipur,
Volkswagen,Ameo 1.5 TDI Highline,,Diesel,5,"46,657",RJ14,First Owner,1498,Manual,2017,21.66,108.62,250,15,Feb,2017,60,7.4,Jaipur,
Mahindra,Marazzo M4 8Str,Third Party,Diesel,8,"79,586",RJ14,First Owner,1497,Manual,2018,17.3,121,300,,Jun,2018,50,8.3,Jaipur,
Mercedes-Benz,CLA Urban Sport 200d,Not Available,Diesel,5,"16,120",RJ45,Second Owner,2143,Automatic,2018,17.9,134.1,300,17,Mar,2019,50,24.5,Jaipur,
Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,Comprehensive,Diesel,8,"1,15,000",RJ27,First Owner,2494,Manual,2015,12.99,100.6,200,15,Aug,2015,75,9.0,Jaipur,
Maruti,Alto 800 LXI,Not Available,Petrol,5,"48,957",RJ26,Second Owner,796,Manual,2020,22.05,47.33,69,,Mar,2020,30,3.2,Jaipur,
Maruti,Eeco 5 Seater AC BSIV,Not Available,Petrol,5,"68,222",RJ45,First Owner,1196,Manual,2019,15.37,73,101,,Jun,2019,40,4.2,Jaipur,
Hyundai,Venue SX Diesel BSIV,Comprehensive,Diesel,5,"65,065",RJ01,First Owner,1396,Manual,2019,23.7,88.76,219.6,16,Jul,2019,40,10.25,Jaipur,
Volkswagen,Polo 1.2 MPI Trendline,Third Party insurance,Petrol,5,"37,794",RJ14,First Owner,1198,Manual,2015,16.47,74,110,,Jul,2015,75,4.5,Jaipur,
Maruti,Baleno 1.3 Sigma,Third Party insurance,Diesel,5,"75,807",RJ45,First Owner,1248,Manual,2018,27.39,74,190,,Sept,2018,50,6.75,Jaipur,
BMW,X1 sDrive 20d M Sport,Comprehensive,Diesel,5,"35,000",RJ14,First Owner,1995,Automatic,2016,17.05,184,380,18,May,2016,70,24.9,Jaipur,
Hyundai,Creta 1.6 CRDi AT SX Plus,1,Diesel,5,"92,002",RJ14,First Owner,1582,Automatic,2015,17.01,126.2,259.9,17,Sept,2015,75,9.9,Jaipur,
Maruti,Baleno 1.2 Delta,Third Party insurance,Petrol,5,"36,174",RJ45,First Owner,1197,Manual,2018,21.4,83.1,115,,Aug,2018,50,6.15,Jaipur,"Jaipur, Rajasthan..."
Hyundai,i20 Sportz Diesel,Third Party insurance,Diesel,5,"35,949",RJ45,First Owner,1493,Manual,2021,25,98.63,240.26,,Jun,2021,20,9.45,Jaipur,"Jaipur, Rajasthan..."
Hyundai,i20 Asta Option 1.2,Third Party insurance,Petrol,5,"93,853",RJ22,First Owner,1197,Manual,2017,18.6,81.83,114.7,16,Nov,2017,60,6.39,Jaipur,"Jaipur, Rajasthan..."
Maruti,Celerio ZXI,Third Party,Petrol,5,"7,867",RJ45,First Owner,998,Manual,2022,25.24,65.71,89,,Jun,2022,15,6.05,Jaipur,
Maruti,Celerio VXI,Third Party,Petrol,5,"2,194",RJ02,First Owner,998,Manual,2022,25.24,65.71,89,,Jun,2022,15,4.98,Jaipur,
Maruti,Swift VXI,Third Party,Petrol,5,"50,461",RJ45,Second Owner,1197,Manual,2018,21.21,81.80,113,,Jun,2018,50,5.91,Jaipur,
Maruti,Wagon R VXI,Third Party,Petrol,5,"32,385",RJ34,First Owner,998,Manual,2020,21.79,67.05,90,,Jun,2020,30,4.99,Jaipur,
Hyundai,Verna VTVT 1.6 AT SX Option,Third Party,Petrol,5,"47,920",RJ45,First Owner,1591,Automatic,2019,17,121.3,151,16,Jun,2019,40,10.67,Jaipur,
Hyundai,Santro Magna BSIV,Third Party,Petrol,5,"38,718",RJ18,First Owner,1086,Manual,2019,20.3,68,99,,Jun,2019,40,4.14,Jaipur,
Honda,Amaze S i-VTEC,Third Party,Petrol,5,"63,290",RJ18,First Owner,1198,Manual,2018,17.8,86.7,109,,Jun,2018,50,5.62,Jaipur,
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"16,432",RJ45,First Owner,796,Manual,2020,22.05,47.33,69,,Jan,2020,30,3.75,Jaipur,
Honda,Amaze S CVT,Comprehensive,Petrol,5,"7,375",RJ45,First Owner,1199,Automatic,2022,18.3,88.50,110,,Feb,2022,15,8.25,Jaipur,
Mahindra,XUV500 W6 2WD,Comprehensive,Diesel,7,"96,000",RJ14,First Owner,2179,Manual,2014,15.1,140,330,,Aug,2014,75,6.45,Jaipur,
Tata,Tigor XZ Plus,Zero Dep,Petrol,5,"8,897",RJ45,First Owner,1199,Manual,2021,19.28,84.82,113,15,Jan,2022,20,7.5,Jaipur,
Kia,Seltos HTK Plus AT D,Third Party insurance,Diesel,5,"58,000",HR26,Second Owner,1493,Automatic,2019,17.8,113.42,250,R16,Sept,2019,40,11.45,Jaipur,
Maruti,Alto LXi BSIII,Comprehensive,Petrol,5,"82,000",RJ20,Second Owner,796,Manual,2010,19.7,46.3,62,12,Nov,2010,75,1.5,Jaipur,
Fiat,Avventura MULTIJET Emotion,Comprehensive,Diesel,5,"67,000",RJ10,First Owner,1248,Manual,2017,20.5,91.72,209,16,May,2017,60,3.25,Jaipur,
BMW,3 Series 320d,Third Party insurance,Diesel,5,"28,000",HR26,Second Owner,1995,Automatic,2016,22.69,190,400,16,Oct,2016,70,19.75,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"77,923",RJ18,Second Owner,998,Manual,2014,20.51,67.04,90,,Jun,2014,75,3.01,Jaipur,
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"49,264",RJ34,First Owner,796,Manual,2019,22.05,47.33,69,,Jun,2019,40,3.2,Jaipur,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"30,508",RJ02,First Owner,796,Manual,2021,22.05,47.33,69,,Jun,2021,20,3.81,Jaipur,
Tata,Tiago 1.2 Revotron XZ,Third Party,Petrol,5,"80,552",RJ45,First Owner,1199,Manual,2019,23.84,84,114,14,Jun,2019,40,4.35,Jaipur,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"54,878",RJ02,Second Owner,796,Manual,2019,22.05,47.33,69,,Jun,2019,40,3.21,Jaipur,
Maruti,Wagon R AMT VXI,Third Party,Petrol,5,"40,128",RJ14,First Owner,998,Automatic,2016,20.51,67,90,,Jun,2016,70,4.06,Jaipur,
Maruti,XL6 Zeta,Third Party,Petrol,6,"85,084",RJ14,First Owner,1462,Manual,2019,19.01,103.2,138,R15,Jun,2019,40,8.74,Jaipur,
Maruti,Alto K10 VXI AMT,Third Party,Petrol,5,"75,040",RJ40,First Owner,998,Automatic,2016,23.95,67.05,90,,Jun,2016,70,3.39,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party insurance,Petrol,5,"23,570",RJ41,First Owner,998,Manual,2017,20.51,67.04,90,,Jan,2018,60,4.49,Jaipur,"Jaipur, Rajasthan..."
Hyundai,Verna SX Opt,Third Party,Petrol,5,"77,581",RJ45,Second Owner,1497,Manual,2021,17.7,113.18,143.8,16,Jun,2021,20,12.32,Jaipur,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Third Party,Petrol,5,"51,213",RJ21,First Owner,1197,Manual,2018,18.9,81.86,113.75,,Jun,2018,50,4.65,Jaipur,
Ford,Ecosport 1.5 TDCi Titanium Plus BE BSIV,Third Party,Diesel,5,"89,505",RJ05,Third Owner,1498,Manual,2016,22.77,98.59,205,16,Jun,2016,70,4.83,Jaipur,
Mitsubishi,Pajero Sport 4X2 AT,Third Party insurance,Diesel,7,"34,000",HP38,First Owner,2477,Automatic,2019,13.5,175.56,350,17,Aug,2019,40,19.45,Jaipur,
Hyundai,EON LPG Magna Plus,Not Available,LPG,5,"31,794",AP13,First Owner,814,Manual,2013,21.1,55.2,74.5,,Feb,2013,75,2.33,Jaipur,
Mahindra,Xylo D2 BSIV,Not Available,Diesel,8,"85,199",RJ21,Second Owner,2489,Manual,2012,14,95 bhp at 3600 ,220Nm at 1400-2600 r,15,May,2012,75,2.0,Jaipur,
Tata,Tiago 1.2 Revotron XZ,Not Available,Petrol,5,"85,569",HR26,First Owner,1199,Manual,2017,23.84,84,114,14,Jun,2017,60,2.8,Jaipur,
Maruti,Swift Dzire LXI,Not Available,Petrol,5,"1,09,397",RJ14,First Owner,1197,Manual,2015,20.85,83.14,115,,Mar,2015,75,4.0,Jaipur,
Hyundai,Santro Xing GLS,Third Party,Petrol,5,"1,34,311",RJ14,First Owner,1086,Manual,2009,17.92,62.1,96.1,13,Mar,2009,75,1.2,Jaipur,
Maruti,800 AC,Not Available,Petrol,4,"49,833",RJ14,First Owner,796,Manual,2011,16.1,37,59,12,Apr,2011,75,0.81236,Jaipur,
